author_id,created_at,text
116003,06_06_2022_23_05,"@AskPlayStation compre una tarjeta de 50$, la metí y no se me acreditaron los 50$, me sale que revise los términos. ¿Que hago?"
AskPlayStation,06_06_2022_23_05,"@116004 Very odd. Please turn off the console and disconnect all the cables from it for 3 minutes, then try again."
116004,06_06_2022_23_05,Yo my PS4 has been turning on by itself recently and constantly ejecting the game disc that's in. What the heck is going on? @AskPlayStation
AskPlayStation,06_06_2022_23_05,@116005 Glad to help! We have sent you a Direct Message via Twitter with further instructions.
116005,06_06_2022_23_05,@AskPlayStation My account is telling me to reset my password but i dont know my date of birth but i know my password for the account. help
AskPlayStation,06_06_2022_23_05,"@116006 Hi there, Have you tried accessing this content from your download queue: https://t.co/lyTEIVBTBn
Let us know the results."
116006,06_06_2022_23_05,"@AskPlayStation my psn id quochuy046, can you help me? Or can I email someone a try for help? live chat on web block me? wtf?"
116006,06_06_2022_23_05,"@AskPlayStation I have followed your instructions, but not, my ps4 has set up automatic download, and find in library there is no diablo 3 nercromancer"
116006,06_06_2022_23_05,"@AskPlayStation  i have bought dlc diablo 3 necromancer and hav phys disc D3 ROS but when i click necromaner pack on game , dont download https://t.co/JDdn50e0wo"
AskPlayStation,06_06_2022_23_05,@116007 Please check your DM's for more instructions.
116007,06_06_2022_23_05,"@AskPlayStation Less a billing issue (I updated the exp date in acct), more ps+ wasn't able to renew. How do i make sure it stays current/not lose anything?"
AskPlayStation,06_06_2022_23_05,"@116007 Sorry to hear that! For billing issues, please follow the steps in the next link: https://t.co/7atHEqJw8n"
116007,06_06_2022_23_05,"@AskPlayStation not sure why my CC in my acct had an incorrect date, but my renewal for ps+ failed. How can I correct this?"
AskPlayStation,06_06_2022_23_05,"@116008 Hi there! For assistance please follow us and send us a Direct Message, we look forward to your reply."
116008,06_06_2022_23_05,@AskPlayStation please help
116008,06_06_2022_23_05,@AskPlayStation hi I accidentally bought a psp game on the PlayStation store thinking it was for ps3. I don’t have a psp. can I return it?
AskPlayStation,06_06_2022_23_05,@116009 Glad to help!  Please follow us via Twitter and let us know so we can send you a Direct Message with further instructions.
116009,06_06_2022_23_05,I preordered the standard edition of cod ww2. Can I change it to deluxe edition somehow @AskPlayStation
AskPlayStation,06_06_2022_23_05,@116010 Sorry to read that. Please check your DMs for assistance.
116010,06_06_2022_23_05,@AskPlayStation someone got to my account and changed the email
HPSupport,06_06_2022_23_05,"@116011 To better assist you, click on the option below and reply. Thanks! ^Anoop 2/2 https://t.co/a2xkfCrUG1"
116011,06_06_2022_23_05,@HPSupport [Laserjet Pro M102w will not print. Drivers install and windows finds printer but I get an error] #hpcswus #hpprnt
HPSupport,06_06_2022_23_05,"@116011 Hey Jacob, I'm here to help! Let's run print and scan doctor: https://t.co/EaeoxKeULN ...1/2"
HPSupport,06_06_2022_23_05,@116012 below and reply. Thanks! ^Anoop 2/2 https://t.co/a2xkfCrUG1
116012,06_06_2022_23_05,@HPSupport Im sending my notebook in for hard drive replacement. Is it alright if I format the drive to factory defaul first? #hpcswus #hppc
HPSupport,06_06_2022_23_05,@116013 Fill the web form using this link to reach them- https://t.co/0jQc5ucYzc Thanks! ^Anoop 2/2 https://t.co/a2xkfCrUG1
116013,06_06_2022_23_05,@HPSupport I would like to speak to a technician #hpsa #hpprnt
HPSupport,06_06_2022_23_05,"@116013 Hey Daniel, I'm here to help! If you wish to speak to someone then you need to contact HP phone support. ...1/2"
ChaseSupport,06_06_2022_23_05,@116014 2/2 to the merchant's site to make the purchase. ^BG
116014,06_06_2022_23_05,"@ChaseSupport Sounds good, thanks!"
116014,06_06_2022_23_05,Hi @ChaseSupport do I have to go through the Chase Online Ultimate Rewards webpage to get the extra cash back when I shop?
ChaseSupport,06_06_2022_23_05,"@116014 1/2 Hello, in order to get the cash back, you'll need to click the link from the Ultimate Rewards website. You'll be routed"
ChaseSupport,06_06_2022_23_05,"@116015 We appreciate the kind words. If you have questions or concerns, please let us know. We're here to help. ^CR"
116015,06_06_2022_23_05,"I've had some ups and downs from banking with Chase, but lately they've been really good to me. So shoutout to you @116016 👏✊"
ChaseSupport,06_06_2022_23_05,@116017 I’d like to review this further for you. Could you please DM your name &amp; zip code? ^BG https://t.co/znUu1VJn9r
116017,06_06_2022_23_05,Hey @116016 we're gonna need to talk about all these pending charges that keep going through my account 5 days after the transaction was made.... I'm getting real irritated.
ChaseSupport,06_06_2022_23_05,@116018 We're glad we were able to help! ^JG
116018,06_06_2022_23_05,"@ChaseSupport Just got off the phone with them, you guys were great!"
ChaseSupport,06_06_2022_23_05,@116018 Aw! It's our pleasure to help. Let us know if we can be of additional assistance. ^JG
116018,06_06_2022_23_05,@ChaseSupport Thanks guys!
ChaseSupport,06_06_2022_23_05,@116018 We would be happy to look into this for you. Could you DM your name and zip code? ^JG https://t.co/znUu1VJn9r
116018,06_06_2022_23_05,"@ChaseSupport I couldn't find an e-mail online. You have my apartment address but not my number, how can I update that to ensure the card gets to me?"
116018,06_06_2022_23_05,"@ChaseSupport I applied for a credit card and but i was never asked for my apt #, tried calling but couldn't get past your automated system."
CoxHelp,06_06_2022_23_05,"@116019 Hello, this does not sound good.  Can you DM the account name and complete service address? We would like to help.  -Dan"
116019,06_06_2022_23_05,@CoxHelp Had to push hard but finally got a team lead to reach out to on-call tech. Outage issue solved; #CSIssue not #CSFail
116019,06_06_2022_23_05,Next day turnaround on an outage issue? @CoxHelp for the #CSFail when it comes to dealing with outages #CSFail #OutageProbs
CoxHelp,06_06_2022_23_05,"@116020 Hi 🎃 Fɍ1sꝀɇNsŦɇƗn 👻, please DM account info including street address so we can look into this.  -Greg https://t.co/ovAKPb0TYC"
116020,06_06_2022_23_05,@CoxHelp It needs to be fixed. Permanently. Now.
CoxHelp,06_06_2022_23_05,@116020 I don't want you to feel this way. What's going on? -Colleen
116020,06_06_2022_23_05,"So @116021 is back fucking me again with my BUSINESS plan internet.

Super cool company.

I don't recommend."
CoxHelp,06_06_2022_23_05,"@116022 Hello, this does not sound good.  Can you DM the account name and complete service address? We would like to help.  -Dan"
116022,06_06_2022_23_05,I’d like at least one month to go by where I don’t have to say how crappy the service is with @116021 in #Vegas &amp; how much I despise them
CoxHelp,06_06_2022_23_05,"@116023 Hi Jean-Claude, I hope you do not have any service interruptions. If you need assistance, reach out to us. -Mike"
116023,06_06_2022_23_05,@CoxHelp I just did.
CoxHelp,06_06_2022_23_05,"@116023 Hi, the outage is still open in your area and working to get it restored as quickly as possible. Thanks for your patience. -Mary"
116023,06_06_2022_23_05,@CoxHelp Been lookong forward to binge on #StrangerThingsSeason2 just hope we have internet. a lot of outages in the neighborhood lately.
CoxHelp,06_06_2022_23_05,@116024 Okay great! If you have any further concerns please reach out to us. -Xavier
116024,06_06_2022_23_05,"@116021 Seems like my problem has been resolved, the technicians you sent to the house were very capable and surpassed expectations"
AskeBay,06_06_2022_23_05,@116025 Have you asked the seller yet where it is? See https://t.co/n4jUdNSd5z as they may be able to help out! ^D
116025,06_06_2022_23_05,@AskeBay I have contacted seller but my question to you is when will I receive my product. Your customer service says may be the awb no.  is wrong.
116025,06_06_2022_23_05,@AskeBay I don't care about that I want my product. . I wish I had not opted ebay.but in future I am not going to choose eBay . Because Its the worst
AskeBay,06_06_2022_23_05,"@116025 The seller should have delivered it by then, but as you don't have it just see https://t.co/Yh3pSrspGY if the seller can't help! ^D"
116025,06_06_2022_23_05,@AskeBay I haven't received it as of yet. And I have a contract with you for the delivery of product not with seller.
116025,06_06_2022_23_05,"@AskeBay So, instead of telling me to contact the seller you guys should contact the seller."
AskeBay,06_06_2022_23_05,"@116025 The contract is between you and the seller! They shipped it, but we protect you if you didn't get it if you open a case. ^D"
116025,06_06_2022_23_05,@AskeBay I haven't received anything as of yet. I'll contact seller tomorrow morning. But your service is pathetic.
AskeBay,06_06_2022_23_05,@116025 Did you view our link? We can give a refund if you don't get it! Just look at our guarantee for steps on activating it. ^D
116025,06_06_2022_23_05,@AskeBay I would appreciate that I got the refund of my previous damaged product from eBay. But where are the timelines for delivery.
116025,06_06_2022_23_05,@AskeBay The email address associated with my account is __email__ .
116025,06_06_2022_23_05,@AskeBay I'm not looking for the refund. Just check my account and you would yourself condemn your service and worst packing .
116025,06_06_2022_23_05,@AskeBay And I haven't received it yet so in layman terms you can say I'm Waiting for it from 9th of Oct. How much time can I wait.
116025,06_06_2022_23_05,@AskeBay and so you have provided me the refund for that. But as I was mad about this product so I ordered the same product on 21st .
116025,06_06_2022_23_05,@AskeBay I am looking for the product. Let me tell you something. I bought a similar product on 9th of this month. But that was damaged  .
AskeBay,06_06_2022_23_05,"@116025 If you still can't see this, please DM us your full name, Zip code &amp; item number &amp; we'll advise on this date for you. 2/2^ML"
116025,06_06_2022_23_05,@AskeBay And check with your team. Or else keep my fucking money as you guys have stressed me out. ?@61113
